Dependencia
Agencia de Atención Animal
Agencia de Gestión Urbana Agencia de Promoción de Inversiones y Desarrollo para la Ciudad de México PROCDMX, S.A. De C.V.
Agencia de Protección Sanitaria
Agencia de Resiliencia
Agencia Digital de Innovación Pública (ADIP)
Alcaldía Álvaro Obregón
Alcaldía Azcapotzalco
Alcaldía Benito Juárez
Alcaldía Coyoacán
Alcaldía Cuajimalpa De Morelos
Alcaldía Cuauhtémoc
Alcaldía Gustavo A. Madero
Alcaldía Iztacalco
Alcaldía Iztapalapa
Alcaldía La Magdalena Contreras
Alcaldía Miguel Hidalgo
Alcaldía Milpa Alta
Alcaldía Tláhuac
Alcaldía Tlalpan
Alcaldía Venustiano Carranza
Alcaldía Xochimilco
Auditoría Superior
Autoridad de la Zona Patrimonio Mundial Natural y Cultural de la Humanidad en Xochimilco, Tláhuac y Milpa Alta
Autoridad del Centro Histórico
Autoridad del Espacio Público
Caja de Previsión de la Policía Auxiliar
Caja de Previsión de la Policía Preventiva
Caja de Previsión para Trabajadores a Lista de Raya
Centro de Comando, Control, Cómputo, Comunicaciones y Contacto Ciudadano
Comisión De Derechos Humanos
Comisión Ejecutiva de Atención a Víctimas de la Ciudad de México
Congreso de la Ciudad de México
Congreso de la Ciudad de México
Consejería Jurídica y de Servicios Legales
Consejo de Evaluación del Desarrollo Social
Consejo de la Judicatura
Consejo para Prevenir y Eliminar la Discriminación
Coordinación de los Centros de Transferencia Modal
Corporación Mexicana de Impresión, S.A. de C.V.
Deuda Pública
Escuela de Administración Pública
Fideicomiso de Recuperación Crediticia
Fideicomiso del Centro Histórico
Fideicomiso Educación Garantizada
Fideicomiso Museo de Arte Popular Mexicano
Fideicomiso Museo del Estanquillo
Fideicomiso para el Fondo de Promoción para el Financiamiento del Transporte Público
Fideicomiso para la Promoción y Desarrollo del Cine Mexicano
Fideicomiso Público para la Reconstrucción y Rehabilitación de Viviendas de Uso Habitacional
Fiscalía General de Justicia
Fondo Ambiental Público
Fondo de Apoyo a la Procuración de Justicia
Fondo de Desarrollo Económico
Fondo Mixto de Promoción Turística
Fondo Para el Desarrollo Económico y Social
Fondo Para el Desarrollo Social
Fondo para la Atención y Apoyo a las Víctimas del Delito
Fondo para las Acciones de Reconstrucción y para Otras Previsiones
Fondo Público de Atención al Ciclista y al Peatón
Heroico Cuerpo de Bomberos
Instituto de Capacitación para el Trabajo
Instituto de Educación Media Superior
Instituto De Estudios Superiores De La Ciudad De México "Rosario Castellanos"
Instituto de Formación Profesional
Instituto de la Juventud
Instituto de las Mujeres
Instituto de las Personas con Discapacidad
Instituto de Planeación Democrática y Prospectiva de la Ciudad de México
Instituto de Transparencia, Acceso a la Información Pública, Protección de Datos Personales y Rendición de Cuentas
Instituto de Verificación Administrativa
Instituto de Vivienda
Instituto del Deporte
Instituto Electoral
Instituto Local de la Infraestructura Física Educativa
Instituto para la Atención y Prevención de las Adicciones
Instituto para la Seguridad de las Construcciones
Jefatura de Gobierno
Junta de Asistencia Privada
Junta Local de Conciliación y Arbitraje
Mecanismo para la Protección Integral de Personas Defensoras De Derechos Humanos y Periodistas
Metrobús
Oficialía Mayor
Órgano Regulador de Transporte
Planta de Asfalto
Policía Auxiliar
Policía Bancaria e Industrial
Procuraduría Ambiental y del Ordenamiento Territorial
Procuraduría Social
Proyecto Metro de la Ciudad De México
Red de Transporte de Pasajeros
Régimen de Protección Social en Salud
Secretaría de Administración y Finanzas
Secretaría de Ciencia, Tecnología e Innovación
Secretaría de Cultura
Secretaría de Desarrollo Económico
Secretaría de Desarrollo Urbano y Vivienda
Secretaría de Educación, Ciencia, Tecnología e Innovación
Secretaría de Gestión Integral de Riesgos y Protección Civil
Secretaría de Gobierno
Secretaría de Inclusión y Bienestar Social
Secretaría de la Contraloría General
Secretaría de las Mujeres
Secretaría de Movilidad
Secretaría de Obras y Servicios
Secretaría de Pueblos y Barrios Originarios y Comunidades Indígenas
Secretaría De Pueblos Y Barrios Originarios Y Comunidades Indígenas Residentes
Secretaría de Salud
Secretaría de Seguridad Ciudadana
Secretaría de Turismo
Secretaría del Medio Ambiente
Secretaría del Trabajo y Fomento al Empleo
Secretaría Ejecutiva del Mecanismo de Seguimiento y Evaluación del Programa de Derechos Humanos
Servicio de Transportes Eléctricos
Servicios de Salud Pública
Servicios Metropolitanos S.A. De C.V.  
Sistema de Aguas
Sistema de Radio y Televisión Digital
Sistema de Transporte Colectivo Metro
Sistema para el Desarrollo Integral de la Familia
Sistema Público de Radio Difusión
Subsecretaría de Sistema Penitenciario
Tesorería
Tribunal de Justicia Administrativa
Tribunal Electoral
Tribunal Superior de Justicia
Universidad Autónoma de la Ciudad de México
Universidad de la Policía
Universidad de la Salud
